trajectory_id,object_id,geometric,kinematic,curvature,indentation,speed,acceleration
1135,201023612341,0.2001,0.8464,0.0733,0.2102,0.9214,0.0839
1136,201023915118,0.5586,0.228,0.8944,0.2634,0.1472,0.375
1137,201024015142,0.1714,0.7244,0.0617,0.1547,0.7921,0.35
1138,201024214318,0.1983,0.8533,0.0593,0.216,0.7441,0.8397
1139,201024312146,0.167,0.0606,0.0649,0.1462,0.1017,0.0638
1140,201024412328,0.2153,0.3466,0.1112,0.2205,0.0996,0.7205
1141,201024715266,0.1383,0.0619,0.0514,0.1114,0.0157,0.1147
1142,201024924125,0.0743,0.8113,0.461,0.0179,0.8319,0.4692
1143,201025114337,0.2372,0.8442,0.099,0.2755,0.1297,0.9496
1144,201025114337,0.167,0.8775,0.0729,0.1346,0.9048,0.092
1145,201025513340,0.2068,0.1809,0.0799,0.2263,0.2795,0.1741
1146,201025513340,0.1773,0.122,0.7912,0.0881,0.0681,0.1652
1147,201025617137,0.0922,0.0917,0.0509,0.0653,0.0638,0.4469
1148,201025716282,0.1804,0.1099,0.0962,0.1436,0.0847,0.4062
1149,201026315149,0.1047,0.9191,0.0467,0.072,0.9389,0.1696
1150,201026315328,0.1168,0.428,0.0322,0.1172,0.1948,0.821
1151,201026714285,0.2077,0.6383,0.1014,0.191,0.3428,0.8179
1152,201027818110,0.9709,0.2873,0.9809,0.8654,0.3616,0.1277
1153,201027922293,0.09,0.9433,0.0976,0.0389,0.9576,0.0888
1154,201027922293,0.1316,0.2882,0.0836,0.0868,0.2009,0.4362
1155,201028414278,0.1791,0.0835,0.0621,0.1731,0.0939,0.0701
1156,201028513145,0.0376,0.0588,0.0589,0.0792,0.0271,0.0848
1157,201028513145,0.0985,0.2138,0.0224,0.0868,0.2332,0.1589
1158,201029313165,0.9919,0.016,0.9963,0.8162,0.0157,0.0018
1159,201029316147,0.1307,0.0524,0.0626,0.0935,0.0585,0.1254
1160,201029316147,0.1961,0.3323,0.0962,0.1874,0.4847,0.1402
1161,201029317093,0.7677,0.8092,0.3937,0.7451,0.4934,0.8772
1162,201029317277,0.3156,0.1471,0.9057,0.0877,0.1284,0.2129
